PLAYERS,TEAM,POS,AGE,GP,G,A,PTS,PPG,CAP %,CAPHIT,CPP
"Holl, Justin",STL,RD,34,9,1,1,2,0.22,0.0356,3400000,1700000.0
"Jeannot, Tanner",BOS,LW,28,77,6,16,22,0.29,0.0356,3400000,154545.45454545456
"Siegenthaler, Jonas",NJD,LD,29,82,0,16,16,0.2,0.0356,3400000,212500.0
"Walman, Jake",EDM,"LD, RD",30,53,8,12,20,0.38,0.0356,3400000,170000.0
"Moser, J.J.",TBL,"LD, RD",25,79,7,22,29,0.37,0.0353,3375000,116379.31034482758
"Protas, Aliaksei",WSH,LW,25,76,25,27,52,0.68,0.0353,3375000,64903.846153846156
"Quinn, Jack",BUF,RW,24,82,20,31,51,0.62,0.0353,3375000,66176.4705882353
"Dach, Kirby",MTL,"RW, C",25,37,8,7,15,0.41,0.0352,3362500,224166.66666666666
"Vladar, Dan",PHI,G,28,52,0,0,0,0.0,0.0351,3350000,3350000.0
"Clifton, Connor",PIT,RD,31,50,2,4,6,0.12,0.0349,3333333,555555.5
"Brossoit, Laurent",SJS,G,33,1,0,0,0,0.0,0.0346,3300000,3300000.0
"Fedotov, Ivan",CBJ,G,29,0,0,0,0,0.0,0.0343,3275000,3275000.0
"Ferraro, Mario",SJS,"LD, RD",27,82,7,16,23,0.28,0.034,3250000,141304.34782608695
"Greig, Ridly",OTT,"RW, LW, C",23,77,13,22,35,0.45,0.034,3250000,92857.14285714286
"Joshua, Dakota",TOR,"LW, RW, C",30,55,10,8,18,0.33,0.034,3250000,180555.55555555556
"Lowry, Adam",WPG,C,33,70,5,16,21,0.3,0.034,3250000,154761.90476190476
"Lyubushkin, Ilya",DAL,"RD, LD",32,53,1,8,9,0.17,0.034,3250000,361111.1111111111
"Nyquist, Gustav",WPG,"RW, LW",36,51,1,11,12,0.24,0.034,3250000,270833.3333333333
"Perfetti, Cole",WPG,"LW, RW, C",24,68,12,20,32,0.47,0.034,3250000,101562.5
"Soucy, Carson",NYI,LD,31,46,3,5,8,0.17,0.034,3250000,406250.0
"Gostisbehere, Shayne",CAR,"LD, RD",33,55,13,37,50,0.91,0.0335,3200000,64000.0
"Lohrei, Mason",BOS,"LD, RD",25,73,7,19,26,0.36,0.0335,3200000,123076.92307692308
"Rasmussen, Michael",DET,"C, LW, RW",27,64,6,8,14,0.22,0.0335,3200000,228571.42857142858
"Hall, Taylor",CAR,LW,34,80,18,30,48,0.6,0.0332,3166667,65972.22916666667
"Haula, Erik",NSH,"C, LW",35,81,14,24,38,0.47,0.033,3150000,82894.73684210527
"Montembeault, Sam",MTL,G,29,25,0,0,0,0.0,0.033,3150000,3150000.0
"Paul, Nicholas",TBL,"C, RW, LW",31,51,7,8,15,0.29,0.033,3150000,210000.0
"Martinook, Jordan",CAR,"RW, LW",33,77,12,17,29,0.38,0.0322,3075000,106034.4827586207
"Chatfield, Jalen",CAR,RD,30,72,2,15,17,0.24,0.0317,3025000,177941.17647058822
"Rodrigues, Evan",FLA,C,32,69,11,20,31,0.45,0.0316,3018750,97379.03225806452
"Brown, Connor",NJD,RW,32,75,18,25,43,0.57,0.0314,3000000,69767.44186046511
"Dowd, Nic",VGK,C,35,55,4,12,16,0.29,0.0314,3000000,187500.0
"Engvall, Pierre",NYI,LW,29,0,0,0,0,0.0,0.0314,3000000,3000000.0
"Evangelista, Luke",NSH,RW,24,81,12,44,56,0.69,0.0314,3000000,53571.42857142857
"Henrique, Adam",EDM,"C, LW",36,65,3,12,15,0.23,0.0314,3000000,200000.0
"Hoglander, Nils",VAN,"LW, RW",25,38,2,3,5,0.13,0.0314,3000000,600000.0
"Jokiharju, Henri",BOS,RD,26,41,2,13,15,0.37,0.0314,3000000,200000.0
"Kane, Patrick",DET,RW,37,67,16,41,57,0.85,0.0314,3000000,52631.57894736842
"Kerfoot, Alex",UTA,"C, LW, RW",31,34,7,6,13,0.38,0.0314,3000000,230769.23076923078
"Laughton, Scott",LAK,C,31,43,8,4,12,0.28,0.0314,3000000,250000.0
"Liljegren, Timothy",WSH,RD,27,43,1,10,11,0.26,0.0314,3000000,272727.2727272727
"Lindgren, Charlie",WSH,G,32,21,0,1,0,0.0,0.0314,3000000,3000000.0
"Luostarinen, Eetu",FLA,"LW, C",27,73,11,22,33,0.45,0.0314,3000000,90909.09090909091
"Myers, Tyler",DAL,RD,36,57,1,7,8,0.14,0.0314,3000000,375000.0
